order_id,product_id,price_at_time_of_order,quantity
1163,34,127.3,7
351,77,373.37,10
426,13,800.21,4
1388,61,117.54,7
1024,75,676.96,4
291,91,946.12,2
862,7,804.36,7
1255,58,723.79,1
1940,1,853.39,10
480,21,130.03,10
1292,83,282.24,7
1949,85,531.93,6
1104,28,111.33,7
1742,38,58.59,10
197,28,113.86,9
718,45,224.52,2
1938,7,849.01,2
1036,85,999.84,1
331,58,364.7,3
1763,71,122.7,4
175,96,927.97,8
1036,81,997.65,9
224,47,382.74,1
335,78,756.75,3
508,88,416.38,1
1161,64,856.5,3
858,67,804.93,8
261,82,465.29,8
347,69,716.0,6
1908,42,239.28,9
1005,64,775.67,1
1857,83,284.94,1
1242,52,763.23,5
625,69,242.9,2
779,78,736.09,4
1991,66,580.83,2
393,24,931.46,8
466,71,743.69,9
864,32,567.82,1
689,82,799.08,10
822,31,62.83,4
407,17,351.55,4
771,35,723.55,5
934,22,253.98,7
1424,42,66.88,8
79,25,897.92,9
1193,4,647.13,2
1669,8,482.1,9
871,92,634.35,10
901,96,110.08,8
124,60,225.41,6
233,1,290.85,9
1179,47,744.11,5
146,56,842.61,1
577,51,150.69,6
658,27,605.29,2
773,17,282.48,2
93,10,229.49,1
914,49,660.08,5
181,61,923.2,3
490,97,392.21,1
1025,27,402.23,10
894,78,747.2,10
1922,51,73.94,10
1488,74,486.43,6
523,63,185.44,6
205,23,659.88,8
128,14,601.52,4
1143,99,758.94,3
1527,49,640.59,5
1236,99,762.28,6
859,19,688.42,8
1767,92,132.48,5
715,59,324.74,4
199,99,75.23,10
1562,46,587.96,7
468,51,805.91,7
102,6,694.62,2
1808,23,305.95,8
291,70,709.1,9
195,72,842.81,3
1066,10,436.82,2
622,14,801.02,5
1011,75,614.23,6
939,93,938.09,4
417,42,555.2,5
1257,15,209.73,1
1385,52,920.03,5
499,30,320.69,2
303,47,927.87,6
939,35,778.07,9
1256,83,265.96,5
864,84,582.15,5
1657,44,166.03,5
112,81,887.4,7
1239,78,307.3,10
417,90,281.65,1
285,71,610.63,6
104,86,559.24,7
602,89,771.82,7
441,16,53.54,10
133,22,156.6,1
842,96,797.96,1
614,13,883.56,1
1666,50,194.75,5
209,63,251.85,2
1165,99,777.26,1
100,29,344.49,6
1978,51,718.76,6
229,62,956.21,10
713,15,487.13,7
576,21,858.57,10
157,3,350.54,1
615,6,632.82,5
206,16,366.23,8
1531,16,915.85,10
1515,34,628.52,4
1478,56,809.33,1
313,67,905.28,8
1554,56,743.03,8
649,12,541.11,5
1549,42,251.17,5
198,77,672.02,3
1126,97,623.1,7
1014,50,602.6,2
934,75,570.64,7
123,80,292.3,3
548,55,391.33,4
797,35,454.67,9
1761,42,510.02,7
528,10,284.19,10
1529,35,880.29,2
628,6,740.15,9
1582,55,52.52,8
1561,73,73.13,6
1052,63,391.14,10
1338,32,297.83,5
1511,82,145.56,6
1039,7,155.38,10
706,92,899.44,7
817,2,366.55,8
39,20,230.28,4
213,21,960.74,1
760,16,763.13,10
246,61,793.15,9
1367,80,175.39,1
972,69,844.77,2
369,69,436.94,9
520,82,886.52,2
1706,88,374.86,8
234,35,867.49,2
1994,58,413.39,1
1128,97,114.51,2
1839,68,576.05,4
116,28,298.13,3
1742,54,543.09,1
1794,78,547.89,6
204,69,535.83,2
1168,81,185.42,6
578,4,625.91,3
651,64,818.87,9
92,22,395.3,8
1453,85,374.97,9
523,55,85.64,1
191,46,746.27,2
13,59,633.96,5
71,14,878.32,4
1594,46,628.99,2
14,98,864.93,7
1739,51,707.1,2
357,42,162.6,6
1518,85,146.19,1
640,52,266.0,5
1758,7,834.64,1
262,42,233.13,1
345,41,422.71,4
414,70,914.83,10
68,88,271.45,4
480,27,515.94,7
1964,54,276.99,5
490,34,226.12,4
942,68,410.71,1
899,50,368.57,5
1420,30,966.66,5
806,10,153.01,7
1554,28,948.7,7
1763,72,424.12,7
1948,5,924.18,9
1044,7,506.19,1
1417,37,296.34,8
957,16,377.33,6
1165,97,485.75,5
1732,51,270.92,5
417,68,224.81,5
1791,11,176.46,1
1989,54,126.6,7
1682,97,194.66,5
1642,18,820.29,3
1422,71,710.05,2
1733,22,322.94,7
1091,5,831.28,1
1143,65,243.64,9
943,75,630.4,1
605,70,313.43,1
615,95,971.57,8
1311,46,826.41,5
1988,30,998.03,9
219,34,385.84,1
1167,2,103.74,1
290,15,480.95,5
717,2,543.43,7
1639,18,189.5,5
1899,35,596.66,5
1980,82,991.49,2
1349,91,701.78,5
1194,47,690.41,2
970,40,656.3,2
458,11,155.46,8
559,94,947.83,3
1655,78,650.28,4
1558,66,493.88,5
322,32,331.27,4
607,35,245.42,3
981,34,93.19,2
64,76,365.67,6
1570,40,157.23,10
1584,23,497.16,2
1960,76,221.58,8
1464,58,429.77,7
840,18,614.53,3
772,43,912.27,3
1326,18,928.38,3
1238,94,484.4,7
960,62,934.64,3
110,97,205.31,5
1516,16,907.31,4
418,37,321.08,6
1886,64,89.88,6
323,39,493.71,1
1598,30,999.35,1
1039,44,57.0,4
1706,13,355.23,3
598,24,972.24,8
36,60,307.34,6
503,31,651.58,7
1319,11,58.01,1
237,64,836.55,1
812,65,591.75,7
1455,57,652.01,9
98,55,487.11,8
1706,64,203.91,5
673,32,217.97,1
1508,86,655.62,10
1342,93,649.02,7
786,5,71.44,3
580,78,988.04,8
9,92,951.09,2
1410,24,520.71,6
1962,90,326.31,2
45,95,169.95,7
877,84,677.69,10
1641,1,150.78,2
1497,12,896.6,5
192,16,365.88,8
714,29,647.23,5
1053,74,861.01,2
698,55,674.27,4
162,81,583.78,2
